metric,insurer,line,value_type,year_quarter,value
direct_losses,1427,осаго,base,2020-07-01,2.9155237664199998
direct_losses,1427,осаго,base,2021-07-01,3.15913887342
direct_losses,1427,осаго,base,2022-07-01,2.7597871292
direct_losses,1427,осаго,base,2023-07-01,3.60740461293
direct_losses,1427,осаго,base,2024-07-01,3.6593685197399997
direct_losses,1580,дмс,base,2020-07-01,0.0097715835699999
direct_losses,1580,дмс,base,2021-07-01,0.0003976661799999
direct_losses,1580,дмс,base,2022-07-01,0.0016984518699999004
direct_losses,1580,дмс,base,2023-07-01,0.0096993786
direct_losses,1580,дмс,base,2024-07-01,0.01938921624
direct_losses,1580,нс и оглс,base,2021-07-01,0.00090317907
direct_losses,1580,нс и оглс,base,2022-07-01,0.0024487606299999
direct_losses,1580,нс и оглс,base,2023-07-01,0.0030857385899999996
direct_losses,1580,нс и оглс,base,2024-07-01,0.0065640892799999
direct_losses,1587,нс и оглс,base,2020-07-01,0.00040674
direct_losses,1587,нс и оглс,base,2021-07-01,0.0005786749999999001
direct_losses,1587,нс и оглс,base,2022-07-01,0.00036578500000000004
direct_losses,1587,нс и оглс,base,2023-07-01,0.00014602499999999999
direct_losses,1587,нс и оглс,base,2024-07-01,9.5925e-05
direct_losses,1587,осаго,base,2020-07-01,0.4549339315899999
direct_losses,1587,осаго,base,2021-07-01,0.7606828517399998
direct_losses,1587,осаго,base,2022-07-01,0.53010602896
direct_losses,1587,осаго,base,2023-07-01,0.0687288227099999
direct_losses,1587,осаго,base,2024-07-01,0.0144307428299999
direct_losses,1623,дмс,base,2022-07-01,0.00191808331
direct_losses,1623,дмс,base,2023-07-01,0.0026852380499999
direct_losses,1623,дмс,base,2024-07-01,0.051183009210000005
direct_losses,1623,нс и оглс,base,2020-07-01,0.00855215417
direct_losses,1623,нс и оглс,base,2021-07-01,0.0049387338799999
direct_losses,1623,нс и оглс,base,2022-07-01,0.0096932017699999
direct_losses,1623,нс и оглс,base,2023-07-01,0.01566485211
direct_losses,1623,нс и оглс,base,2024-07-01,0.1196383175099998
direct_losses,1643,дмс,base,2020-07-01,0.1292673823
direct_losses,1643,дмс,base,2021-07-01,0.16997515778
direct_losses,1643,дмс,base,2022-07-01,0.0859662669999999
direct_losses,1675,дмс,base,2020-07-01,0.3905970931799999
direct_losses,1675,дмс,base,2021-07-01,0.27036429599
direct_losses,1675,дмс,base,2022-07-01,0.5989944034799999
direct_losses,1675,дмс,base,2023-07-01,0.80896532275
