,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих 
опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
33,4334,  АТРАДИУС РУС КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,152478,0,0,0,0,0,152478,0,0,0,0,0,152478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152478,0,0,0,0,0,0,0,0,0
34,518,  БАСК,Белово,265039,0,0,0,0,0,124917,103976,5809,0,0,98167,20941,16590,7863,0,0,0,3629,0,0,4192,906,4332,748,748,0,0,0,0,0,0,0,0,0,80,3504,0,0,19,0,0,0,140122,128326,11796,0,0
35,3673,  БЕЛОКАМЕННАЯ,Москва,3429,0,0,0,0,0,3429,0,0,0,0,0,3429,3366,0,0,0,0,2924,0,0,442,0,63,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
36,3487,  БИН СТРАХОВАНИЕ,Москва,1189088,73472,0,0,0,0,995087,548546,399393,0,0,149153,446541,236356,34441,53,6573,140,19776,69,0,97069,78235,164187,0,0,0,0,0,7158,345,0,6813,0,7,27150,57900,71972,81,45917,0,0,0,194001,127772,16382,49847,0
37,3991,  БЛАГОСОСТОЯНИЕ,Москва,1102147,0,119271,70351,0,48920,982876,982876,949601,0,0,33275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1207,  БЛАГОСОСТОЯНИЕ ОБЩЕЕ СТРАХОВАНИЕ,Москва,964080,0,0,0,0,0,964066,491309,413112,0,0,78197,472757,154719,0,0,0,0,0,0,0,0,154719,45100,0,0,0,0,0,0,0,0,0,0,0,0,45100,0,0,272938,0,0,0,14,14,0,0,0
39,3064,  БОРОВИЦКОЕ СТРАХОВОЕ ОБЩЕСТВО,Москва,41949,0,0,0,0,0,41031,1034,336,0,0,698,39997,39552,232,0,0,0,38124,0,0,1074,122,404,0,0,0,0,0,1,1,0,0,0,0,147,256,0,0,41,0,0,0,918,918,0,0,0
40,3799,  БРИТАНСКИЙ СТРАХОВОЙ ДОМ,Москва,822215,0,0,0,0,0,822215,74650,1316,0,0,73334,747565,545320,24789,0,0,0,87486,0,0,430068,2977,201682,0,0,0,0,0,261,261,0,0,0,0,0,201421,0,229,334,0,0,0,0,0,0,0,0
41,2664,  ВЕКТОР,Симферополь,239847,0,0,0,0,0,86822,32350,12708,0,0,19642,54472,29110,8438,0,0,1695,97,0,0,17404,1476,25362,0,0,0,0,0,70,0,0,70,0,0,100,25192,0,0,0,0,0,0,153025,153025,0,0,0
42,3245,  ВЕРНА,Краснодар,175814,0,0,0,0,0,174446,20236,7207,0,0,13029,154210,27460,10755,0,0,111,35,9345,6460,5635,1579,125772,94,94,0,0,0,85,85,0,0,0,0,1927,1231,122435,0,978,0,0,0,1368,1368,0,0,0
