1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
94,3193,"ООО ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",Москва,1458002.09148,-,-,-,-,1458002.09148,308700.73762,178534.63838,-,-,130166.09924,1149301.35386,307232.75702,143645.91023,-,496.62078,40854.34282,8691.58679,-,-,85823.09942,27721.19698,811566.48328,-,-,342.976,74750.96929,29.025,-,405631.66035,330811.85264,-,30502.11356,-,-,-,-,-,-,-,-
95,4117,"ООО ""Страховая компания ""Кредит Европа Лайф""",Москва,378722.29596,50,50,-,-,378672.29596,378672.29596,376934.57348,-,-,1737.72248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,2353,"ООО ""Страховая компания ""СДС""",Кемерово,225003.15183,-,-,-,-,218522.96829,203554.39617,8923.51393,-,-,194630.88224,14968.57212,13591.71774,9455.20638,-,-,-,-,-,-,1477.32371,2659.18765,1348.25438,-,-,-,-,-,-,766.81438,581.44,-,28.6,-,-,-,6480.18354,6480.18354,-,-,-
97,4105,"ООО ""Страховая компания ""СиВ Лайф""",Москва,6833291.98008,6605140.77103,6605140.77103,56656.55892,-,228151.20905,228151.20905,158346.74497,-,-,69804.46408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,492187.57966,-,-,-,-,492187.57966,114706.1104,5025.56475,3226.3207,-,109680.54565,377481.46926,109871.71578,3537.40758,-,3183.15704,47415.06506,4356.03345,-,-,48773.03312,2607.01953,246796.82886,1.6,-,229.9,28878.16397,-,623.5,201490.18143,15573.48346,-,20812.92462,-,-,-,-,-,-,-,-
99,0585,"ООО ""СФ ""Адонис""",Пермь,641522.91982,-,-,-,-,207659.2033,70806.62676,39876.80143,-,-,30929.82533,136852.57654,136018.94405,47863.80463,140.862,-,60,3021.40409,906.04925,-,24969.24333,59057.58075,723.21249,218.36491,-,-,-,-,-,504.84758,-,-,110.42,-,-,-,433863.71652,423623.90462,1919.10906,8320.70284,-
100,3507,"ООО ""Хоум Кредит Страхование""",Москва,1326508.01459,-,-,-,-,1326508.01459,1221534.83459,1221534.83459,-,-,-,104973.18,96281.012,-,-,-,-,-,-,-,-,96281.012,8568.443,-,-,-,-,-,-,8568.443,-,-,123.725,-,-,-,-,-,-,-,-
101,4358,ООО «РСХБ-Страхование жизни»,Москва,11872751.09151,11630411.66962,11630411.66962,-,-,242339.42189,242339.42189,13409,-,-,228930.42189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,2182,ООО «СК «Надежда»,Красноярск,61850.89413,-,-,-,-,33844.2249,24978.20154,9355.58854,-,-,15622.613,8866.02336,8333.71849,6322.30948,-,-,-,-,-,-,-8.6216,2020.03061,234.59359,-,-,-,-,-,-,150.90259,83.691,-,297.71128,-,-,-,28006.66923,28006.66923,-,-,-
103,4372,ООО «Страховая компания «Манго»,Москва,58.29201,-,-,-,-,58.29201,-,-,-,-,-,58.29201,13.608,-,-,-,-,-,-,-,-,13.608,7.56,-,-,-,-,-,-,7.56,-,-,37.12401,-,-,-,-,-,-,-,-
