1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
89,1182,"ООО ""СК ""ТИТ""",Москва,272192316.56155,0,0,0,0,0,272192316.56155,30162047.01882,20172591.12682,0,0,9989455.892,242030269.54273,72005999.46745,6558547.3275,0,5099480.5448,652.7,591873.68002,0,0,36533322.83842,23222122.37671,150845699.86706,555030,555030,0,0,131745876.5366,0,0,18152793.33046,0,392000,0,19178570.20822,0,0,0,0,0,0,0,0
90,3815,"ООО ""СК ""Экспресс-страхование""",Санкт-Петербург,5933546.56888,0,0,0,0,0,5933546.56888,0,0,0,0,0,5933546.56888,0,0,0,0,0,0,0,0,0,0,1956431.65565,0,0,0,0,0,0,0,0,1514500,441931.65565,0,3977114.91323,0,0,0,0,0,0,0,0
91,3803,"ООО ""СК Доминанта""",Москва,11110329.15385,0,0,0,0,0,11110329.15385,5540,5540,0,0,0,11104789.15385,6982843.37686,0,0,0,0,0,0,0,6982843.37686,0,4089971.88706,0,0,0,0,0,0,0,295000,3794971.88706,0,0,31973.88993,0,0,0,0,0,0,0,0
92,0574,"ООО ""СК Екатеринбург""",Екатеринбург,62836010.70864,226370,0,0,0,0,62836010.70864,30275032.1929,3327285.03381,0,0,26947747.15909,32560978.51574,29754083.92173,8306318.92453,0,0,0,74391.87664,0,0,16181553.67993,5191819.44063,1212462.743,694772.61,694772.61,0,0,0,0,0,28550,465140.133,24000,0,1594431.85101,0,0,0,0,0,0,0,0
93,3225,"ООО ""СК ИНТЕРИ""",Москва,41977340.35506,0,0,0,0,0,41977340.35506,880000,880000,0,0,0,41097340.35506,26624440.35506,26624440.35506,0,0,0,0,0,0,0,0,14472900,14472900,14472900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,4104,"ООО ""СК КАРДИФ""",Москва,532373502.58226,216989.3399,0,0,0,0,532373502.58226,330539541.58477,330539541.58477,0,0,0,201833960.99749,87750290.4578,41050583.61347,0,0,0,0,0,0,0,46699706.84433,38932217.23795,0,0,0,0,0,0,0,0,38932217.23795,0,0,75151453.30174,0,0,0,0,0,0,0,0
95,2917,"ООО ""СК НИК""",Ульяновск,696328486.76578,169270443.9,0,0,0,0,696328486.76578,2065820,2057820,0,0,8000,694262666.76578,246167565.95578,0,0,245991340.07278,0,0,0,0,0,176225.883,443856851.368,0,0,0,0,295856660,0,0,42264780,105735411.368,0,0,4238249.442,0,0,0,0,0,0,0,0
96,3825,"ООО ""СК СОГАЗ-ЖИЗНЬ""",Москва,893326147.63471,30990.9053,714691505.45178,713953212.87198,56565.06862,738292.5798,178634642.18293,178634642.18293,177048103.08293,0,0,1586539.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379912366.61096
97,3998,"ООО ""СК Чабб Жизнь""",Москва,2008725.4072,0,0,0,0,0,2008725.4072,2008725.4072,2008725.4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3969,"ООО ""СК Чабб""",Москва,826934404.33859,118203499.68748,0,0,0,0,826934404.33859,300066245.64621,300066245.64621,53528000,0,0,526868158.69238,287476385.56647,0,0,0,0,65872939.19471,0,0,219744051.35178,1859395.01998,106991360.74068,0,0,0,0,0,0,0,802067.41,106189293.33068,0,126704714.53623,5695697.849,0,0,0,0,0,0,0,0
99,4179,"ООО ""СК"" Райффайзен Лайф""",Москва,973809287.46741,9483082.55522,562385557.78538,562385557.78538,526988234.85226,0,411423729.68203,411423729.68203,151307249.62154,0,0,260116480.06049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3528,"ООО ""СМО ""Спасение""",Казань,9145535.845,0,0,0,0,0,9145535.845,9145535.845,0,0,0,9145535.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,3941,"ООО ""СМП-Страхование""",Москва,358653490.6332,2694607.24669,0,0,0,0,358653490.6332,245727158.35654,158889607.8395,0,0,86837550.51704,112926332.27666,103133280.54,4244423.93573,3512199.84,746653.28074,0,75520.72055,0,0,79404067.62568,15150415.1373,3948702.01511,35500,35500,0,0,23495.504,0,0,0,3889706.51111,0,0,5844349.72155,0,0,0,0,0,0,0,0
102,4079,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",Москва,1008583619.03732,0,349895004.32072,349895004.32072,312794217.34976,0,658688614.7166,658688614.7166,542064120.9366,0,0,116624493.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29629142.97096
103,1580,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",Москва,1864349919.70102,0,0,0,0,0,1864349919.70102,571549251.11691,25492328.52191,0,0,546056922.595,1292800668.58411,732689114.76409,0,0,0,0,0,0,0,0,732689114.76409,3240800,0,0,0,0,0,0,0,0,3240800,0,0,556870753.82002,0,0,0,0,0,0,0,0
104,3193,"ООО ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",Москва,292709342.4854,0,0,0,0,0,292709342.4854,55295970.09721,23408175.45221,0,0,31887794.645,237413372.38819,80755900.3042,4706377.88516,0,20860.77886,4926140.17,1208556.21178,0,0,54353367.78758,15540597.47082,114952473.42634,0,0,0,0,27621.8,69062431.1,57500,0,6737549.10434,39067371.422,0,41704998.65765,0,0,0,0,0,0,0,0
105,4117,"ООО ""Страховая компания ""Кредит Европа Лайф""",Москва,31813652.99106,0,0,0,0,0,31813652.99106,31813652.99106,30214932.99106,0,0,1598720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2353,"ООО ""Страховая компания ""СДС""",Кемерово,28484039.46752,0,0,0,0,0,28484039.46752,22132882.12823,1667360.92528,0,0,20465521.20295,6351157.33929,4668092.10316,1461489.86035,0,0,0,0,0,0,2778954.35892,427647.88389,316628.14753,6000,6000,0,0,0,0,0,0,123378.14753,187250,1351087.0886,15350,0,0,0,0,0,0,0,0
