,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
81,990,  ЕВРОПА,Лобня,18764,0,0,0,0,0,18764,240,236,0,0,4,18524,497,177,0,0,0,60,78,61,85,97,18010,0,0,0,0,0,56,56,0,0,0,1,6,519,17428,0,17,0,0,0,0,0,0,0,0
82,4009,  ЕРВ ТУРИСТИЧЕСКОЕ СТРАХОВАНИЕ,Москва,4182,0,0,0,0,0,4182,3172,3172,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,963,0,0,0,0,0,0,0,0
83,4307,  ЕСЕЯ,Казань,6,0,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1595,  ЖАСКО,Вологда,462,0,0,0,0,0,217,3,3,0,0,0,214,211,7,0,0,0,204,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,245,245,0,0,0
85,263,  ЖАСО,Москва,1113732,5369,0,0,0,0,729500,628447,494850,0,0,133597,101053,82703,12190,120,0,3,3531,2,0,2296,64561,13888,1,0,1,0,0,749,749,0,0,0,11,744,12238,145,1,4461,0,0,0,384232,381618,2375,239,0
86,4003,  ЖАСО-ЛАЙФ,Москва,44284,0,41387,41387,35949,0,2897,2897,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2447,  ЖЕЛЕЗНОДОРОЖНЫЙ СТРАХОВОЙ ФОНД,Нижний Новгород,45639,0,0,0,0,0,45639,37807,37076,0,0,731,7832,7753,55,330,0,0,6863,0,0,104,401,79,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
88,2456,  ЗАБАЙКАЛМЕДСТРАХ,Чита,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1947,  ЗАПОЛЯРЬЕ,Салехард,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1083,  ЗЕТТА СТРАХОВАНИЕ,Москва,986266,7558,0,0,0,0,713785,253130,205498,0,0,47632,460655,271733,65924,3,0,0,207,1148,0,3593,200858,97421,0,0,0,0,0,2839,2839,0,0,0,2,79,94465,36,5,91496,0,0,0,272481,269542,2333,606,0
91,907,  ИНВЕСТИЦИИ И ФИНАНСЫ,Москва,130377,0,0,0,0,0,90180,54504,46009,0,0,8495,35676,30409,9087,0,0,1,311,12,6,2033,18965,5211,0,0,0,0,0,1885,1885,0,0,0,18,20,3260,28,3,53,0,0,0,40197,40197,0,0,0
92,3616,  ИНВЕСТ-ПОЛИС,Королев,132,0,0,0,0,0,132,0,0,0,0,0,132,58,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
93,2401,  ИНВЕСТСТРАХ,Москва,11907,0,0,0,0,0,11907,11115,836,0,0,10279,792,351,4,0,0,0,0,2,0,110,235,428,0,0,0,0,0,0,0,0,0,0,0,0,392,36,0,13,0,0,0,0,0,0,0,0
94,425,  ИНГВАР,Москва,178,0,0,0,0,0,178,9,9,0,0,0,169,138,0,0,0,0,112,0,0,17,9,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0
95,928,  ИНГОССТРАХ,Москва,4461378,47674,0,0,0,0,1946471,533060,432724,0,0,100336,1413411,849788,416391,1016,317,870,56480,382,0,48869,325463,514510,449,449,0,0,0,252868,251789,0,394,685,241,1165,259412,375,422,48691,0,0,0,2514907,2491575,18893,4439,0
96,4189,  ИНГОССТРАХ ОНДД КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,65,5,0,0,0,0,65,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
97,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,61629,0,6519,5510,0,1009,55110,55110,55110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3837,  ИНГОССТРАХ-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2169,  ИНЕРТЕК,Санкт-Петербург,337,0,0,0,0,0,337,153,152,0,0,1,184,152,16,0,0,0,23,0,0,98,15,32,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0
100,2031,  ИНКО-МЕД,Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,227019,51920,0,0,0,0,182878,83862,80789,0,0,3073,99016,43421,35017,0,0,0,0,0,0,0,8404,25815,0,0,0,0,0,18404,18404,0,0,0,0,0,7411,0,0,29780,0,0,0,44141,44141,0,0,0
102,1858,  ИТИЛЬ АРМЕЕЦ,Москва,219775,1662,0,0,0,0,87546,53572,48819,0,0,4753,33974,29361,6814,0,3,0,7,0,0,351,22186,4590,20,0,0,20,0,11,11,0,0,0,2,299,4258,0,0,23,0,0,0,132229,132229,0,0,0
103,4000,  ИФ СТРАХОВАНИЕ,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,902,  КАЙРОС,Петропавловск-Камчатский,88,0,0,0,0,0,88,22,22,0,0,0,66,22,0,0,0,22,0,0,0,0,0,22,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
105,2179,  КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
