1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,4192," ОВС ""Народные кассы""",Москва,24.81875,-,-,-,-,24.81875,-,-,-,-,-,24.81875,24.81875,-,-,-,-,-,-,-,24.81875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,4179," ООО ""СК"" Райффайзен Лайф""",Москва,266135.98518,90956.88046,90956.88046,77160.8912,-,175179.10472,175179.10472,18692.25388,-,-,156486.85084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,0191,"АО  ""Тинькофф  Страхование""",Москва,7378.04537,-,-,-,-,7378.04537,-,-,-,-,-,7378.04537,7378.04537,6533.18919,-,-,-,-,-,-,788.37618,56.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,0212,"АО  ""Цюрих надежное страхование""",Москва,1851096.38045,-,-,-,-,1851096.38045,5419.7025,5419.7025,-,-,-,1845676.67795,1208635.10974,4654.76562,-,-,-,175297.49956,-,-,1028682.84456,-,212421.65717,2981.43935,-,-,-,-,-,-,45076.82535,164363.39247,-,322099.34177,102520.56927,-,-,-,-,-,-,-,-
5,3991,"АО  СК  ""Ренессанс здоровье""",Москва,268013.75525,0,0,0,0,268013.75525,268013.75525,224855.91645,0,0,43157.8388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3947,"АО ""АИГ""",Москва,2830324.88407,-,-,-,-,2827503.25337,-11.00133,-11.00133,-,-,-,2827514.2547,1372777.11811,95.38593,-,-,-,226442.9961,-,-,1146238.73608,-,829187.97258,9206.42452,9206.42452,-,-,-,-,-,-,819981.54806,-,-,625549.16401,-,-,-,2821.6307,-,2821.6307,-,-
7,2239,"АО ""АльфаСтрахование""",Москва,9052504.34295,-,-,-,-,8759027.42005,227449.82696,165442.83652,-,-,62006.99044,8531577.59309,6318650.09972,207780.12381,11141.64091,1256980.29665,62744.29208,230636.03979,94337.36779,60176.80403,4431156.36191,23873.97678,1385457.24139,70377.86735,-,70377.86735,-,682069.20186,20096.9644,19548.58393,13093.0539,572179.59295,8091.977,689101.45796,138368.79402,-,-,-,293476.9229,-,164636.82317,128840.09973,-
8,3064,"АО ""Боровицкое страховое общество""",Москва,3937.51197,-,-,-,-,3937.51197,-,-,-,-,-,3937.51197,2523.88475,213.4,-,-,-,19.02883,-,-,2219.65476,71.80116,1413.62722,-,-,-,-,-,-,-,-,-,1413.62722,-,-,-,-,-,-,-,-,-,-
9,0433,"АО ""ВостСибЖАСО""",Иркутск,5383.43762,-,-,-,-,5383.43762,24.63677,24.63677,-,-,-,5358.80085,5348.13585,1676.48845,-,-,-,19.82567,-,-,939.44979,2712.37194,7.53,-,-,-,-,-,-,-,-,7.53,-,-,3.135,-,-,-,-,-,-,-,-
10,1284,"АО ""Группа Ренессанс Страхование""",Москва,1071489.96844,-,-,-,-,1016807.21561,18087.24942,13259.83094,-,-,4827.41848,998719.96619,546097.44543,205615.4085,-,-,5913.08623,27059.08537,-,-,289115.93976,18393.92557,49293.79275,5091.0413,-,-,-,-,-,186.32026,8765.80219,35250.629,-,-,403328.72801,-,-,-,54682.75283,-,19956.87297,34725.87986,-
