,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,"владельцев средств
 воздушного транспорта",владельцев средств водного транспорта,,,,,,,,,,,,,
162,1111,  ПОДМОСКОВЬЕ,Подольск,395922410,0,0,0,0,0,395922410,317273804,314526055,0,0,2747749,78648606,59148911,5311845,0,654076,1966419,3887830,0,0,14363837,32964904,19237608,9651235,0,0,9651235,0,82040,82040,0,0,0,5000,20288,9479045,0,262087,0,0,0,0,0,0,0,0
163,3390,  ПОЛИС-ГАРАНТ,Москва,99252338,0,0,0,0,0,99252338,9542884,853767,0,0,8689117,89709454,23556522,5769285,0,0,0,3303175,0,0,10601491,3882571,5437253,0,0,0,0,0,4192500,4192500,0,0,0,0,391700,853053,0,0,60715679,0,0,0,0,0,0,0
164,3609,  ППФ СТРАХОВАНИЕ ЖИЗНИ,Москва,33085941,0,17518159,16068988,0,1449171,15567782,15567782,15567782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3889,  ПРЕСТИЖ-ПОЛИС,Москва,3146524,0,0,0,0,0,3146524,47015,1960,0,0,45055,3099509,3041609,84211,0,0,0,2426462,0,0,395575,135361,57900,0,0,0,0,0,46900,46900,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0
166,3438,  ПРОМИНСТРАХ,Москва,251907150589,0,0,0,0,0,231873764,120999807,111163995,0,0,9835812,110873957,69605198,754872,0,142204,109962,10168178,0,0,56232752,2197230,14536294,4054512,0,0,3960998,93514,138600,119000,0,10600,9000,966709,3065688,6247138,63647,25749041,983424,0,0,0,251675276825,4160000,251671116825,0
167,2682,  ПРОФСОДРУЖЕСТВО,Москва,3918,0,0,0,0,0,3918,1275,1275,0,0,0,2643,2643,1847,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,4179,  РАЙФФАЙЗЕН ЛАЙФ,Москва,972380582,0,51356416,51356416,0,0,921024166,921024166,51951435,0,0,869072731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,72,  РЕГИОНАЛЬНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,773974302,0,0,0,0,0,773974302,0,0,0,0,0,773974302,1015593,0,0,0,0,0,0,0,0,1015593,772958709,0,0,0,0,0,0,0,0,0,0,0,0,0,772958709,0,0,0,0,0,0,0,0,0
170,3621,  РЕГИОНАЛЬНЫЙ СТРАХОВОЙ ЦЕНТР,Москва,136685559,0,0,0,0,0,136685559,1964592,1960999,0,0,3593,134720967,6608980,89599,0,541500,0,12587,0,0,927541,5037753,128111987,17754492,0,0,17754492,0,1800,1800,0,0,0,10500,0,110345195,0,0,0,0,0,0,0,0,0,0
171,1908,  РЕГИОНГАРАНТ,Москва,28059502803,0,0,0,0,0,502986611,15837010,10741911,0,0,5095099,487149601,460643844,6544428,38571915,12527992,316137,336208654,37868,0,56741172,9695678,26505757,793590,99880,0,652666,41044,981960,945252,0,36708,0,118600,41000,24095488,475119,0,0,0,0,0,27556516192,3915000,27552601192,0
