1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
116,2619,"АО ""СК ""Астро-Волга""",Самара,1681961.60968,-,-,-,-,-,254331.07536,79654.01067,9525.54257,-,-,70128.4681,174677.06469,171919.99006,157097.24072,-,-,-,-,-,-,412.00083,14410.74851,2757.07463,-,-,-,-,-,-,-,87.4,2669.67463,-,-,-,-,-,-,1427630.53432,1427630.53432,-,-,-,-
117,3978,"ООО ""ВСК-Милосердие""",Москва,67041.67295,-,-,-,-,-,67041.67295,67041.67295,-,-,-,67041.67295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,4358,ООО «РСХБ-Страхование жизни»,Москва,573499.7796,1770.22183,572101.90526,572101.90526,-,-,1397.87434,1397.87434,1085,-,-,312.87434,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,569692.24044
119,3230,"АО ""Страховая компания ""СОГАЗ-Мед""",Москва,328893.61926,-,-,-,-,-,328893.61926,328893.61926,-,-,-,328893.61926,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,3825,"ООО ""СК СОГАЗ-ЖИЗНЬ""",Москва,25138582.54783,68205.40247,25124054.53237,24982022.19789,-,142032.33448,14528.01546,14528.01546,14528.01546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20643394.62661
121,4349,"НКО ""МОВС""",Санкт-Петербург,468.53982,-,-,-,-,-,468.53982,-,-,-,-,-,468.53982,468.53982,468.53982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,3507,"ООО ""Хоум Кредит Страхование""",Москва,112946.68113,-,-,-,-,-,112946.68113,80345.30607,80345.30607,-,-,-,32601.37506,32601.37506,-,-,-,-,-,-,-,12906.935,19694.44006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,0915,"АО ""СК ""ПАРИ""",Москва,952480.55951,-,-,-,-,-,813865.6263,214104.06342,94055.3462,-,-,120048.71722,599761.56288,583698.38375,253970.59395,-,7602.0808,-,192688.079,-,-,60232.03669,69205.59331,13313.59767,2528.0695,2528.0695,-,-,-,97.3,-,56.4,9163.82817,1468,797.24762,1952.33384,-,-,-,138412.27492,137571.27492,-,841,-,-
124,4359,"НКО ПОВС ""Страховой дом ""Платинум""",Санкт-Петербург,15822.23175,-,-,-,-,-,15822.23175,-,-,-,-,-,15822.23175,15822.23175,15822.23175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,1427,"АО ""МАКС""",Москва,5372599.29411,-,-,-,-,-,2123171.82458,959797.9665,210738.10273,-,-,749059.86377,1163373.85808,1140044.83652,1093661.29076,6851.11666,-,-,35.36567,20901.91462,20901.91462,3570.63761,15024.5112,15600.99492,12013.0736,12013.0736,-,-,-,-,-,250,3337.92132,-,-,7728.02664,71088.48969,71088.48969,-,3189709.57625,3159138.87342,-,30570.70283,-,-
