,,,,,,,,,,,,от несчастных случаев и болезней,из него,,медицинское страхование,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,,страхование предпринимательских рисков,страхование финансовых рисков,,,,,,,
,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),"средств 
железнодорожного транспорта",средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,
287,2621,  ЭКОНОМСТРАХОВАНИЕ,Саратов,146559,0,100753,100753,0,0,45806,45806,45806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,3815,  ЭКСПРЕСС-СТРАХОВАНИЕ,Санкт-Петербург,1079000,0,0,0,0,0,1079000,0,0,0,0,0,1079000,0,0,0,0,0,0,0,0,0,0,1079000,0,0,0,0,0,0,0,0,0,0,0,0,1079000,0,0,0,0,0,0,0,0,0,0
289,1834,  ЭНЕРГОГАРАНТ,Москва,521586842305,118100043,0,0,0,0,4511373880,1106301086,149512838,5962001,0,956788248,3405072794,3114539637,105354196,2750262,201858,463566,29765274,7761348,2936239,2856410751,111832382,268120506,290100,290100,0,0,0,40632265,40195885,0,17125,419255,3336696,2318529,221318487,224429,8828595,13584056,0,0,0,517075468425,99495000,516975973425,0
290,1551,  ЭНИ,Ростов-на-Дону,25027547,0,0,0,0,0,25027547,15750786,15604151,0,0,146635,9276761,7193269,356686,0,0,104906,0,2755299,2753460,1636639,2339739,2083492,0,0,0,0,0,602383,602383,0,0,0,9900,966023,453386,51800,0,0,0,0,0,0,0,0,0
291,177,  ЭРГО,Санкт-Петербург,2187334843,0,0,0,0,0,2180554843,1216398685,1216079859,0,0,318826,964156158,632234417,84330046,28325,0,66474,20722917,0,0,468362327,58724328,174821577,0,0,0,0,0,3816356,3816356,0,0,0,100000,17022032,153883189,0,145584051,11516113,0,0,0,6780000,6780000,0,0
292,3879,  ЭРГО ЖИЗНЬ,Москва,103242386,11716467,7842276,7842276,4061,0,95400110,95400110,95400110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,4133,  ЭЧДИАЙ СТРАХОВАНИЕ,Москва,611909343,0,0,0,0,0,611909343,12520734,12520734,0,0,0,599388609,456981103,0,0,0,0,140884353,0,0,316096750,0,36152548,0,0,0,0,0,0,0,0,0,0,0,23346480,12708593,97475,96760184,9494774,0,0,0,0,0,0,0
294,3211,  ЮГОРИЯ,Ханты-Мансийск,435225712,0,0,0,0,0,420345712,108620234,85601625,9540000,0,23018609,311725478,290612619,41946417,0,0,285731,12163,415210,0,169065462,78887636,21019032,17000,400,0,0,16600,146077,146077,0,0,0,2400,425101,19081280,1347174,12000,81827,0,0,0,14880000,14880000,0,0
295,4014,  ЮГОРИЯ-ЖИЗНЬ,Ханты-Мансийск,1192775,0,539908,539908,0,0,652867,652867,652867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,3204,  ЮГОРИЯ-МЕД,Ханты-Мансийск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,2243,  ЮЖУРАЛ-АСКО,Челябинск,139009909,0,0,0,0,0,139009909,46030789,7664426,0,0,38366363,92979120,91807366,66295290,0,0,0,664015,0,0,10544137,14303924,1171754,107800,107800,0,0,0,1000,1000,0,0,0,0,10300,1052654,0,0,0,0,0,0,0,0,0,0
298,92,  ЮЖУРАЛЖАСО,Челябинск,108027324,0,0,0,0,0,108027324,95962058,46358875,0,0,49603183,12065266,11717561,1449985,149606,0,0,2445393,0,0,5288051,2384526,262915,0,0,0,0,0,19650,19650,0,0,0,0,0,243265,0,0,84790,0,0,0,0,0,0,0
299,1643,  ЮНИТИ РЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4335,  ЮПИТЕР-М,Симферополь,2537712,0,0,0,0,0,2537712,73721,73721,0,0,0,2463991,1557356,73488,0,0,0,89002,903883,295431,262040,228943,66546,0,0,0,0,0,918,918,0,0,0,0,0,65628,0,647984,192105,0,0,0,0,0,0,0
301,1621,  ЯКОРЬ,Москва,88958672,0,0,0,0,0,88958672,19373207,10497236,0,0,8875971,69585465,48637563,1635721,0,0,197878,2702790,0,0,42901566,1199608,20889041,0,0,0,0,0,1578226,1521154,0,0,57072,0,0,17343815,1967000,0,58861,0,0,0,0,0,0,0
