"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",67294750431.31774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3124897526.68284,2830543443.31844,5110324.3116,0,0,18607815.75775,0,2806825303.24909,294354083.3644,189506396.2644,146320,104701367.1,1925912852.6349,478389086.61173,103690658.07687,103690658.07687,0,882852,0,0,0,0,85074245.32778,226730.68421,0,0,0,0,0,226730.68421,0,0,226730.68421,0,108445634.75658,0,48932113.76088,59513520.9957,180068965.76629,169695693.68413,5061080.9109,5312191.17126,359825416.63714,2293351.89786,2293351.89786,0,0,0,0,0,0,0,1432921.90777,1432921.90777,0,0,1001084.33,992484.33,8600,353919637.27801,39784351.85872,0,1096400.101,138000,312900885.31829,1178421.2235,0,0,0,680000.101,0,0,0,31000,467421.1225,64280.9318,1087634068.45423,1068927906.05779,0,18706162.39644,,,,,,,,,0,34252500,18962500,570000,1030000,13690000,62209687552,0,0,0,0,0,0,52840448,792549376,792549376,0,61364297728,5482823680,13836613632,3971731456,38073128960,0,0,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",842567047.8848801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,541271176.33817,165773785.58923,1810000,0,0,0,0,163963785.58923,375497390.74894,0,0,375497390.74894,301295871.54671,146104354.64337,49309383.74612,49309383.74612,0,0,3748635.00023,0,0,0,14839921.47566,0,0,0,0,0,0,0,0,0,0,0,61714264.45725,0,3253207.12973,58461057.32752,16492149.96411,49980.68701,0,16442169.2771,142712300.74099,283200,283200,0,0,0,58179380.20784,0,0,0,0,0,0,0,83724120.53315,0,83724120.53315,0,0,0,0,0,0,525600,0,0,0,0,0,0,0,155500,370100,0,12479216.16235,10223.99441,1349069.908,11119922.25994,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",44156119208576.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,37710603074.9187,31822817143.6759,10945503212.7349,765725890.92,0,543520176.39343,0,19568067863.6276,5887785931.24278,0,5295335381.71076,592450549.53202,800588606225.239,495395728649.18,35243213717.0203,25073372495.5807,10169841221.4396,3762087095.75575,3961854773.39409,37696123489.7938,37662308378.4566,33815111.33721,4681471834.10865,207650083.37183,45842548.03256,0,0,45842548.03256,0,161807535.33927,0,0,161807535.33927,0,324858843504.819,0,23910273735.8522,300948569768.966,84984484150.9172,3042115992.08572,0,81942368158.8315,286756689595.3,595264951.408,595264951.408,0,0,1286000,7060839995.78445,274877772194.24,274863669403.24,14102791.00002,542598082.15334,3152841.11514,284142.68949,539161098.34871,136742741.78954,87728350,49014391.78954,3538601933.6511,431793212.4791,4605863.636,1447300,299050,3100456507.536,3583696.27372,0,0,642000,0,0,0,0,2500,2939196.27372,16480863417.521,1955324563.23782,210235028.99927,0,1745089534.23855,,,,,,,,,0,412927500,311257500,22560000,37580000,41530000,43317407071776,3044912311584,1168119908208,1876792403376,3957243840,3651773664,305470176,172918416,9630474303,9592038543,38435760,37616766936429,1044342739113,588253344612,33977551385046,2006619467658,2387755927392,254211259812,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",268965531625.07495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,31889906033.3581,12803575434.8897,16178501.68223,1349760,368000,12396766213.2875,0,388912959.91996,19086330598.4684,338121190.849,17454986786.5774,1293222621.042,5304071841.71686,4735858422.01975,655809274.57274,655809274.57274,0,19130452.29072,0,61818.38,61818.38,0,1480127402.80499,3458228.22443,941402.745,0,0,941402.745,0,2516825.47943,0,0,2516825.47943,0,1337148674.16274,0,242603857.66941,1094544816.49333,1240122571.58413,358800194.38729,194425207.45246,686897169.74438,397007453.72822,99418469.598,99418469.598,0,0,0,26510,308694.6,190210.4,118484.2,23212677.5088,1728029.336,0,21484648.1728,18563129.128,18563129.128,0,241011429.45931,25281431.34526,120700,21588602.007,2597900,191422796.10705,14466543.43411,0,0,0,0,0,0,0,6000,14460543.43411,64626880.01529,106579085.9536,1037610.01893,5693572.0894,99847903.84527,,,,,,,,,0,263732500,151935000,5337500,5990000,100470000,231507821250,17911870200,0,17911870200,0,0,0,69560775,800909775,796120650,4789125,212725480500,15455464200,63565709850,26999316900,106704989550,0,0,0
1216,"Акционерное общество Страховая компания ""Чулпан""",249838845577.71323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,112669846.00876,4904220.91919,0,0,0,1391117.895,0,3513103.02419,107765625.08957,48988.6398,107703104.44616,13532.00361,17075611.70446,15464263.72499,2061738.26228,2061738.26228,0,0,0,18165.4853,0,18165.4853,0,8567,0,0,0,0,0,8567,0,0,8567,0,3099698.57279,0,0,3099698.57279,10276094.40462,4597117.47023,5646909.12908,32067.80531,1574226.97947,55160.239,55160.239,0,0,0,12300,128980,0,128980,9329.685,3000,0,6329.685,0,0,0,1357457.05547,289550,0,5270,0,1062637.05547,11000,0,0,0,0,0,0,0,11000,0,0,37121,0,0,37121,,,,,,,,,0,21415000,13555000,10000,7400000,450000,249687685120,0,0,0,0,0,0,0,4552704,4552704,0,249683132416,4499472384,61671421952,6725289984,176786948096,0,0,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",314923189605.80774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,3047348443.56501,1392260628.11401,73098235.3983,84325850,0,0,0,1234836542.71571,1655087815.451,1197770774.131,342633751.32,114683290,11824380602.2427,8996122106.2797,553496502.595,553496502.595,0,3637612.904,0,4164866.194,4164866.194,0,7631438468.12267,0,0,0,0,0,0,0,0,0,0,0,465290965.65103,55996300.467,29512534.5977,379782130.58633,338093690.813,30670192.13,282497313.175,24926185.508,408957908.752,73129657.2,73129657.2,0,0,0,0,95737.51,95737.51,0,0,0,0,0,5367400,5367400,0,330363614.042,601244.116,0,643500,112550,329006319.926,1500,0,0,0,0,0,0,0,500,1000,0,2419300587.211,358447932.482,0,2060852654.729,,,,,,,,,0,29250000,19102500,2447500,600000,7100000,300022210560,40759865344,0,40759865344,0,0,0,314972160,83681280,62003200,21678080,206332774400,9521522688,63865159680,2752169984,130193922048,52530917376,0,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",131389766229.19672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2123582114.97007,1154790179.83783,931768639.3496,55559571.59994,0,79981.3785,0,167381987.50979,968791935.13224,0,0,968791935.13224,1960720603.22665,1673014848.83186,356069320.53478,356069320.53478,0,143962885.45279,3455922.32693,35614098.73193,34932942.15893,681156.573,308909962.28999,31450920.61011,29427650.30903,25128659.95571,0,4298990.35332,0,2023270.30108,530658.71,0,1492611.59108,0,635759425.3361,44824602.28298,87438070.58176,503496752.47136,157792313.54923,19696894.60299,12773038.57966,125322380.36658,238618532.22177,17458490,17458490,0,0,0,13315465.45575,152884463.97199,152407894.59337,476569.37862,5537437.97193,0,0,5537437.97193,483672,483672,0,47769248.42318,25259437.90215,0,1240800,0,21269010.52103,1169754.39892,0,0,404000,0,195305,0,0,50000,520449.39892,10236246.78214,38850975.39088,5233136.00657,0,33617839.38431,,,,,,,,,0,44030000,31060000,0,780000,12190000,127261433511,5372657664,0,5372657664,577525760,475721728,101804032,91584489,1189947392,1185941504,4005888,120029718206,4552241106,4060727273,30098167624,81318582203,0,0,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",266303027.96056002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,146315078.86021,588944.48569,0,0,0,59765,0,529179.48569,145726134.37452,0,145300928.65294,425205.72158,119987949.10035,116444043.10035,3369053.001,3369053.001,0,0,0,0,0,0,111968347.895,0,0,0,0,0,0,0,0,0,0,0,745456.30979,222557.88783,0,522898.42196,361185.89456,344865.65556,16320.239,0,159900,40800,40800,0,0,0,0,0,0,0,0,0,0,0,67300,0,67300,51800,0,0,0,0,51800,0,0,0,0,0,0,0,0,0,0,0,3384006,3384006,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,АКЦИОНЕРНОЕ ОБЩЕСТВО «АСТРАМЕД-МС» (СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ),74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,74,0,0,0,0,0,0,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",207841272.81816998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,155196587.7821,95389210.1781,1203999.77,0,0,0,0,94185210.4081,59807377.604,16885511.151,0,42921866.453,52644685.03607,9132422.08149,3933887.39125,3933887.39125,0,0,0,0,0,0,312830.9304,0,0,0,0,0,0,0,0,0,0,0,2730714.004,0,0,2730714.004,2154989.75584,0,2002018.695,152971.06084,9315451.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655920,0,0,0,0,655920,8659531.077,0,0,0,0,0,0,0,36000,8623531.077,0,34196811.87758,214618.43342,0,33982193.44416,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",302325204889.93616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,2556389834.24503,2312217724.58402,12386137.3018,3805750,0,2171979940.2075,0,124045897.07472,244172109.66101,0,243088380.66101,1083729,2512553107.69115,2422648006.30466,59999408.06579,59848253.53966,151154.52613,94913780.4611,16920,231078.36536,0,231078.36536,11175216.44947,0,0,0,0,0,0,0,0,0,0,0,144065014.33144,10100,6505669.34632,137549244.98512,2112246588.6315,1440300.77241,983064.95438,2109823222.90471,52829722.47974,23876277.64439,23876277.64439,0,0,0,146900.4,277437.5,277437.5,0,2702556.26101,0,0,2702556.26101,98050,98050,0,21219256.77968,6294878.07409,304000,505600,13000,14101778.70559,4509243.89466,0,19500,0,0,0,0,0,0,4489743.89466,437482.0443,36637896.86245,724814.894,0,35913081.96845,,,,,,,,,0,19677500,14302500,95000,500000,4780000,297236584448,0,0,0,0,0,0,2879488,42086400,42086400,0,194620389376,19925932714.6667,33815611050.6667,3176448000,137702397610.667,82494408704,20076820480,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,490845352.75212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,383737883.39712,16822880.41212,0,0,0,0,0,16822880.41212,366915002.985,366915002.985,0,0,107107469.355,57621465.5736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57621465.5736,0,0,57621465.5736,2372606.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2372606.192,0,0,0,0,2372606.192,0,0,0,0,0,0,0,0,0,0,0,47113397.5894,0,0,47113397.5894,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",2121208.36207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,676894.77936,676894.77936,0,0,0,0,0,676894.77936,0,0,0,0,1444313.58271,1412563.58271,66308.387,66308.387,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097308.95335,0,0,1097308.95335,240946.24236,212616.88011,11685.02925,16644.333,31750,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,21750,0,0,0,0,21750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",513958489.67883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,365898623.61534,124519623.61534,0,0,0,0,0,124519623.61534,241379000,0,0,241379000,148059866.06349,117200762.53115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117200762.53115,0,0,117200762.53115,16654552.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16654552.5,0,0,0,0,16654552.5,0,0,0,0,0,0,0,0,0,0,0,14204551.03234,0,0,14204551.03234,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",22919161323.279648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,6270709063.20059,848323346.89218,14762928.12025,12782550,0,6063850,0,814714018.77193,5422385716.30841,4754699258.4908,637135837.40844,30550620.40917,5739615780.07906,5479474898.50315,148345170.72298,148345170.72298,0,105177137.15171,0,0,0,0,3004797618.17761,0,0,0,0,0,0,0,0,0,0,0,540642311.17594,51103360.81173,63165306.35856,426373644.00565,1680512661.27491,8110233.72309,3802301.63607,1668600125.91575,138440284.75099,7238185,7238185,0,0,0,0,12298,0,12298,1380159.12797,0,0,1380159.12797,1490345.21566,0,1490345.21566,126845153.12652,13518322.02173,0,20300,28000,113278531.10479,1474144.28084,0,0,160000,0,0,0,0,6000,1308144.28084,75169052.14785,46531544.67707,5181234.00844,0,41350310.66863,,,,,,,,,0,4240000,4240000,0,0,0,10904596480,0,0,0,0,0,0,0,0,0,0,10904596480,0,0,0,10904596480,0,0,0
1820,"Акционерное общество ""ГУТА-Страхование""",35568298.73175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,726000,335000,0,0,0,335000,0,0,391000,0,380000,11000,34842298.73175,34180298.73175,763183.39812,0,763183.39812,0,0,0,0,0,7141199.4178,2657374.028,2657374.028,2657374.028,0,0,0,0,0,0,0,0,23557033.68783,0,0,23557033.68783,61508.2,61508.2,0,0,662000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662000,0,0,2000,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
