1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
218,3517,  ЦЕНТРАЛЬНОЕ СО,Мытищи,3811078,0,0,0,0,0,3794189,3780070,3745797,0,0,34273,14119,9837,3415,0,1,89,2155,57,21,2314,1806,4188,46,46,0,0,4,313,0,1554,2099,172,4,90,0,0,0,16889,15415,783,691,0
219,212,  ЦЮРИХ НАДЕЖНОЕ СТРАХОВАНИЕ,Москва,2133,143,0,0,0,0,2133,22,22,0,0,0,2111,639,6,0,0,0,208,0,0,418,7,1004,9,9,0,0,0,0,0,352,643,0,202,266,0,0,0,0,0,0,0,0
220,3998,  ЧАББ ЖИЗНЬ,Москва,8,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2708,  ЧРЕЗВЫЧАЙНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,13320,0,0,0,0,0,9755,5100,5090,0,0,10,4655,281,21,0,9,3,26,0,0,204,18,2240,24,24,0,0,89,42,89,1,1995,0,0,2134,2,2,0,3563,0,3125,438,0
222,552,  ЧУВАШИЯ-МЕД,Чебоксары,3066,0,0,0,0,0,3066,3066,0,0,0,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2136,  ЧУВАШСКАЯ МСК,Новочебоксарск,539,0,0,0,0,0,539,539,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1216,  ЧУЛПАН,Альметьевск,209931,0,0,0,0,0,74575,54416,53639,0,0,777,20159,13154,2180,0,1,5,7,475,0,360,10126,7002,139,139,0,0,0,3,22,9,6829,0,1,2,0,0,0,135356,133618,1683,55,0
225,4001,  ЧУЛПАН-ЖИЗНЬ,Альметьевск,38834,0,20806,20679,0,127,18028,18028,18028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,3957,  ЧУЛПАН-МЕД,Альметьевск,38,0,0,0,0,0,38,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,3543,  ЭКИП,Москва,4551,0,0,0,0,0,4551,840,776,0,0,64,3711,2398,1520,0,0,4,17,0,0,103,754,1312,476,476,0,0,0,1,0,7,819,9,0,1,0,0,0,0,0,0,0,0
228,3815,  ЭКСПРЕСС-СТРАХОВАНИЕ,Санкт-Петербург,882,0,0,0,0,0,882,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0
229,1834,  ЭНЕРГОГАРАНТ,Москва,1113388,71769,0,0,0,0,440470,306079,211235,8,0,94844,134391,106155,32135,29,3,50,5035,308,62,14089,54506,23009,8195,8152,0,1,2,137,266,210,14140,58,490,4737,0,0,0,672918,661029,7637,4252,0
230,177,  ЭРГО,Москва,1109048,1959,0,0,0,0,931415,455725,407386,0,0,48339,475690,163701,62409,6,0,30,3713,0,0,4156,93387,270001,190726,3663,187063,0,0,0,6,1960,77309,0,100,41888,0,0,0,177633,177297,336,0,0
231,3879,  ЭРГО ЖИЗНЬ,Москва,47854,71,6190,6190,0,0,41664,41664,41621,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,4133,  ЭЧДИАЙ СТРАХОВАНИЕ,Москва,987,0,0,0,0,0,987,6,6,0,0,0,981,424,0,0,0,0,188,0,0,236,0,410,1,1,0,0,0,0,0,374,35,0,147,0,0,0,0,0,0,0,0,0
233,3211,  ЮГОРИЯ,Ханты-Мансийск,1961037,0,0,0,0,0,886417,345879,221325,0,0,124554,540538,473449,135474,0,0,10,2269,178,0,2194,333324,66415,308,308,0,0,3,119,0,15,65902,68,12,662,0,0,0,1074620,1073699,917,4,0
234,4014,  ЮГОРИЯ-ЖИЗНЬ,Ханты-Мансийск,663,0,503,503,0,0,160,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2243,  ЮЖУРАЛ-АСКО,Челябинск,1810666,0,0,0,0,0,641410,428315,134737,0,0,293578,213095,202895,146656,0,0,0,479,0,0,1462,54298,10200,248,248,0,0,0,0,0,28,9924,0,0,0,0,0,0,1169256,1169256,0,0,0
236,1643,  ЮНИТИ РЕ,Москва,3,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,1621,  ЯКОРЬ,Москва,123736,0,0,0,0,0,67998,61796,36181,0,0,25615,6202,4044,292,0,0,12,1677,0,0,580,1483,2139,167,167,0,0,0,26,0,6,1423,517,0,19,0,0,0,55738,55738,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"в том числе:
по договорам страхования с физическими лицами",,,,175409741,X,4484178,4480451,X,3727,136688547,65124794,55416528,X,X,9708266,71563753,41134789,3257453,0,117,631,89315,68337,0,X,37718936,10483233,1852725,684604,1167979,0,499,209,X,X,8623692,6108,X,19945731,0,X,X,34237016,34237016,X,X,X
по договорам страхования с индивидуальными предпринимателями и юридическими лицами,,,,17702277,X,52994,52976,X,18,13433086,5557337,4178676,518,0,1378661,7875749,4374972,675340,8189,2426,3704,2678331,5373,881,423567,578042,2018691,394112,307423,86578,24,3217,7192,2631,35003,1003526,572986,25378,1456708,11,11,X,4216186,3927017,230736,58433,X
