1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
133,4117,"ООО ""Страховая компания ""Кредит Европа Лайф""",Москва,39589835.60137,750,0,0,0,0,39589835.60137,39589835.60137,39589835.60137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2353,"ООО ""Страховая компания ""СДС"" ",Кемерово,20496090.96748,0,0,0,0,0,20496090.96748,19633852.18766,8999677.98304,0,0,10634174.20462,862238.77982,718658.79482,126748.51,0,0,0,1000,0,0,385360.40256,205549.88226,122681.272,6000,6000,0,0,0,0,0,0,66681.272,50000,0,20898.713,0,0,0,0,0,0,0
135,4105,"ООО ""Страховая компания ""СиВ Лайф""",Москва,13049589.57646,0,3375086.96641,3375086.96641,446154.6,0,9674502.61005,9674502.61005,2264415.02005,0,0,7410087.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,392670002.98248,475807.12994,0,0,0,0,392670002.98248,65645904.6274,1192976.4,292000,0,64452928.2274,327024098.35508,232120267.63904,639436.5,0,508,3362100.19655,2418143.72689,0,0,225584783.3578,115295.8578,86925915.2004,223300,223300,0,0,0,73482655.6,0,10800,12577888.4584,631271.142,0,7977915.51564,0,0,0,0,0,0,0
137,3127,"ООО ""Страховое общество ""Сургутнефтегаз""",Сургут,45570750392.8352,875372.78603,0,0,0,0,371313930.83524,86220935.51722,61610500.10788,0,0,24610435.40934,285092995.31802,239834439.58804,4598639.98835,0,2858268.86471,0,3885317.13522,0,0,219073446.63477,9418766.96499,43690853.36575,0,0,0,0,42407274.74329,0,320880,429500,517198.62246,16000,1800,1565902.36423,0,0,0,45199436462,4970000,45194466462,0
138,3928,"ООО ""Страховые инвестиции""",Уфа,84568.26165,0,0,0,0,0,84568.26165,3580,2080,0,0,1500,80988.26165,0,0,0,0,0,0,0,0,0,0,12400,0,0,0,0,0,0,0,0,12400,0,0,68588.26165,0,0,0,0,0,0,0
139,0585,"ООО ""СФ ""Адонис""",Пермь,4411037712.4418,0,0,0,0,0,21548048.4418,7680435.07297,5172075.74528,0,0,2508359.32769,13867613.36883,13816822.36883,1671414.57333,0,0,0,499491.41371,3725,0,4024454.36877,7617737.01302,37790,8800,8800,0,0,0,0,15000,0,13990,0,0,13001,0,0,0,4389489664,3200000,4386289664,0
140,1688,"ООО ""ТСК""",Королев,5986371.33052,0,0,0,0,0,5986371.33052,418300,418300,0,0,0,5568071.33052,5304550.80052,153271.456,0,0,0,0,0,0,5072463.39952,78815.945,263520.53,8000,8000,0,0,0,0,0,118149.1,137371.43,0,0,0,0,0,0,0,0,0,0
141,3507,"ООО ""Хоум Кредит Страхование""",Москва,67872384.779,0,0,0,0,0,67872384.779,61757293.717,61757293.717,0,0,0,6115091.062,4843311.062,0,0,0,0,0,0,0,0,4843311.062,1271780,0,0,0,0,0,0,0,0,1271780,0,0,0,0,0,0,0,0,0,0
142,4358,ООО «РСХБ-Страхование жизни»,Москва,21229199.30478,0,1282199.30478,1282199.30478,0,0,19947000,19947000,483000,0,0,19464000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
