1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
111,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,10288.85075,-,-,-,-,10288.85075,-,-,-,-,-,10288.85075,10288.85075,-,-,-,3229.88515,-,-,-,8961.4852,-1902.5196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,3127,"ООО ""Страховое общество ""Сургутнефтегаз""",Сургут,26285.66179,-,-,-,-,26273.85616,1759.86374,1733.58353,-,-,26.28021,24513.99242,22807.87581,-,-,-,-,-,-,-,22807.87581,-,1706.11661,-,-,-,-,1706.11661,-,-,-,-,-,-,-,-,-,-,11.80563,-,-,11.80563,-
113,0585,"ООО ""СФ ""Адонис""",Пермь,20516.37147,-,-,-,-,19432.84261,1755.38614,1755.38614,-,-,-,17677.45647,17677.45647,4756.17027,-,-,-,-,-,-,6126.93081,6794.35539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1083.52886,-,-,1083.52886,-
114,1688,"ООО ""ТСК""",Королев,2402.15041,-,-,-,-,2402.15041,625.77,625.77,-,-,-,1776.38041,1776.38041,1776.38041,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,3507,"ООО ""Хоум Кредит Страхование""",Москва,4825.24618,-,-,-,-,4825.24618,4825.24618,4825.24618,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,3954,"ООО РСО  ""ЕВРОИНС""",Смоленск,2018.37583,-,-,-,-,2018.37583,3.75,3.75,-,-,-,2014.62583,1555.93009,1137.5276,-,-,-,11.9505,-,-,390.0905,16.36149,-,-,-,-,-,-,-,-,-,-,-,-,458.69574,-,-,-,-,-,-,-,-
117,3767,"ООО СК ""АСКОР""",Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,3398,"ООО СК ""ВТБ Страхование""",Москва,3522608.06187,-,-,-,-,3512693.33532,16770.44233,16770.44233,-,-,-,3495922.89299,3484282.32253,-,-,3245.42938,9469.55255,-,-,-,3471567.3406,-,11640.57046,-,-,-,-,1421.89253,-,-,-,10218.67793,-,-,-,-,-,-,9914.72655,-,184.26522,9730.46133,-
119,3870,"ООО СК ""ДЕЛО ЖИЗНИ""",Москва,1686.37392,1686.37392,1686.37392,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,1867,"ООО СК ""Коместра-Томь""",Томск,1821.55828,-,-,-,-,1821.55828,-,-,-,-,-,1821.55828,1821.55828,1619.28809,-,-,-,-,-,-,114.20112,88.06907,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,3847,"ООО СК ""Независимая страховая группа""",Москва,5371.56977,-,-,-,-,5371.56977,-,-,-,-,-,5371.56977,5371.56977,138.32513,-,-,-,1775.44861,-,-,3457.79603,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,0326,"ООО СК ""Орбита""",Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,3268,"ООО СК ""Паритет-СК""",Москва,25.33418,-,-,-,-,25.33418,-,-,-,-,-,25.33418,25.33418,0.9945,-,-,-,-,-,-,24.33968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,4331,"ООО СК ""Сбербанк страхование""",Москва,111988.05586,-,-,-,-,111988.05586,63463.86569,-,-,-,63463.86569,48524.19017,43928.87213,-,-,-,-,-,-,-,43928.87213,-,-,-,-,-,-,-,-,-,-,-,-,-,4595.31804,-,-,-,-,-,-,-,-
125,3511,"ООО СК ""Согласие-Вита""",Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
