,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
138,2950,  МОСКВА-ВОЛГА,Красногорск,4,0,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
139,2290,  МОСКОВИЯ,Москва,355354,1324,0,0,0,0,104044,93830,93232,0,0,598,10214,9779,360,0,0,0,9051,0,0,75,293,306,0,0,0,0,0,179,179,0,0,0,0,0,127,0,0,129,0,0,0,251310,251310,0,0,0
140,3128,  МСК АЙАЙСИ,Москва,13,0,0,0,0,0,13,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
141,413,  МСК СТРАЖ,Рязань,611823,437,0,0,0,0,183994,156145,113573,0,0,42572,27849,25510,1888,0,0,4,70,60,1,898,22590,2339,0,0,0,0,0,163,163,0,0,0,0,0,2176,0,0,0,0,0,0,427829,427829,0,0,0
142,2326,  МСК УРАЛСИБ,Климовск,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,3624,  МСК-МЕДИЦИНА,Краснодар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1447,  НАДЕЖДА,Красноярск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2182,  НАДЕЖДА,Красноярск,940006,0,0,0,0,0,659292,505047,328540,0,0,176507,154245,119997,107554,0,0,8,9,0,0,835,11591,14177,23,6,0,0,17,8775,8775,0,0,0,4,17,5314,44,0,20071,0,0,0,280714,280714,0,0,0
146,4192,  НАРОДНЫЕ КАССЫ,Москва,31650,0,0,0,0,0,31650,0,0,0,0,0,31650,20,0,0,0,0,0,0,0,11,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,31605,0,0,0,0,0,0,0,0
147,1535,  НАСКО ЖИЗНЬ,Казань,1031,0,1031,998,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,3116,  НАСКО ТАТАРСТАН,Казань,841534,0,0,0,0,0,494417,259968,227794,0,0,32174,234449,191945,5749,3,1,34,86,5593,0,3235,177244,39785,172,0,0,24,148,46,40,0,1,5,49,258,38286,974,0,2719,0,0,0,347117,345219,1196,702,0
149,1826,  НАЦИОНАЛЬНАЯ СТРАХОВАЯ ГРУППА,Долгопрудный,191,0,15,15,0,0,176,109,106,0,0,3,67,67,0,0,0,0,0,0,0,23,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
