1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
139,3969,"ООО ""СК Чабб""",Москва,166491.87488,20799.949,0,0,0,0,166491.87488,19200.12414,19200.12414,1615.929,0,0,147291.75074,80071.32286,0,0,0,0,61567.45658,0,0,16156.91622,2346.95006,62263.95399,0,0,0,0,0,0,0,17596.0568,44667.89719,0,4850.56705,105.90684,0,0,0,0,0,0,0,0
140,2444,"ООО ""СМО ""СИМАЗ-МЕД""",Новосибирск,2092.88,0,0,0,0,0,2092.88,2092.88,0,0,0,2092.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,3528,"ООО ""СМО ""Спасение""",Казань,181490.43,0,0,0,0,0,181490.43,181490.43,0,0,0,181490.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,3941,"ООО ""СМП-Страхование""",Москва,132159.18653,35,0,0,0,0,132159.18653,101565.40797,8172.94026,0,0,93392.46771,30593.77856,29528.10745,9055.32772,0,0,0,920.38261,0,0,16762.16528,2790.23184,566.82792,111.04005,111.04005,0,0,0,0,0,0,455.78787,0,0,498.84319,0,0,0,0,0,0,0,0
143,4079,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование Жизни""",Москва,3214384.86826,0,2796718.6978,2796718.6978,1012348.01547,0,417666.17046,417666.17046,417666.17046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1580,"ООО ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",Москва,276619.60469,0,0,0,0,0,276619.60469,4175.98813,553.95634,0,0,3622.03179,272443.61656,33999.59516,-156.509,0,0,0,0,0,0,0,34156.10416,2666.228,0,0,0,0,0,0,0,0,2666.228,0,0,235777.7934,0,0,0,0,0,0,0,0
145,4133,"ООО ""Страховая  компания ""ЭчДиАй  Страхование""",Москва,630209.44472,0,0,0,0,0,544028.01923,1144.28711,1144.28711,0,0,0,542883.73212,403371.04183,0,0,0,0,171845.09255,0,0,231525.94928,0,110765.81772,0,0,0,0,0,0,0,109075.40493,1690.41279,0,28045.15357,701.719,0,0,0,0,0,0,0,0
146,3193,"ООО ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",Москва,455128.01573,0,0,0,0,0,455128.01573,105008.29027,36676.82696,0,0,68331.46331,350119.72546,60364.34554,0,0,4152.4713,-56.8011,29304.83641,0,0,22636.26133,4327.5776,278147.96579,0,0,0,0,138.83065,7828.40923,0,0,218461.4495,51719.27641,0,11607.41413,0,0,0,0,0,0,0,0
147,3561,"ООО ""Страховая компания ""ВИТАЛ-Полис""",Москва,7700.79282,0,0,0,0,0,7700.79282,7231.97282,136.14826,0,0,7095.82456,468.82,460.82,435,0,0,0,0,0,0,0,25.82,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,4117,"ООО ""Страховая компания ""Кредит Европа Лайф""",Москва,177531.58296,0,365.62141,365.62141,0,0,177165.96155,177165.96155,177165.96155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2353,"ООО ""Страховая компания ""СДС"" ",Кемерово,269062.67703,0,0,0,0,0,117815.72656,112123.15595,17527.60952,0,0,94595.54643,5692.57061,4989.42418,2737.6202,0,0,0,20,0,0,746.29127,1485.51271,673.54643,17.69593,17.69593,0,0,0,0,0,0,327.9505,327.9,0,29.6,0,0,0,151246.95047,151255.95045,0,-8.99998,0
150,4105,"ООО ""Страховая компания ""СиВ Лайф""",Москва,1039026.15211,0,980824.88056,980824.88056,67648.06056,0,58201.27155,58201.27155,48953.04695,0,0,9248.2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,1149,"ООО ""Страховая компания ""СтрИж""",Ижевск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,256727.16704,396.94623,0,0,0,0,256727.16704,134970.85242,-22395.31234,1214.3152,0,157366.16476,121756.31462,23016.22175,13922.61318,0,0,94.65839,4705.12105,0,0,3678.18382,615.64531,90188.09678,575.0074,575.0074,0,0,0,14.25,0,55.6,86967.11575,2576.12363,0,8551.99609,0,0,0,0,0,0,0,0
153,3127,"ООО ""Страховое общество ""Сургутнефтегаз""",Сургут,980390.91046,2297.55963,0,0,0,0,758278.59863,204120.16884,67016.00259,0,0,137104.16625,554158.42979,526546.54179,74665.71639,0,7616.94046,0,7366.35221,0,0,421675.89838,15221.63435,22545.14132,0,0,0,0,11860.61594,0,1780.8624,631.8775,8241.0749,30.71058,3.6,5063.14668,0,0,0,219080.15822,202244.57731,13961.85989,2873.72102,0
154,3928,"ООО ""Страховые инвестиции""",Уфа,2238,0,0,0,0,0,2238,-52,33,0,0,-85,2290,1860,0,0,0,0,0,0,0,1860,0,1,0,0,0,0,0,0,0,0,1,0,0,429,0,0,0,0,0,0,0,0
155,0585,"ООО ""СФ ""Адонис""",Пермь,172432.55649,0,0,0,0,0,76493.67482,27664.04321,20366.86789,0,0,7297.17532,48829.63161,48647.86062,11548.40878,0,0,0,593.11934,387.04035,0,7718.82109,28400.47106,164.02299,56.28578,56.28578,0,0,0,0,7.3168,0,100.42041,0,0,17.748,0,0,0,95938.88167,93285.28363,1453.82657,1199.77147,0
