year_quarter,metric,line_type,linemain,insurer,value
2022-01-01,ceded_losses,non-life,прочее имущество,2239,1.06674456334
2022-01-01,ceded_losses,non-life,прочее имущество,2346,1.890174e-05
2022-01-01,ceded_losses,non-life,прочее имущество,2496,0.00199811587
2022-01-01,ceded_losses,non-life,прочее имущество,2619,0.00024900194
2022-01-01,ceded_losses,non-life,прочее имущество,2947,0.8577179427099999
2022-01-01,ceded_losses,non-life,прочее имущество,3211,0.0155465
2022-01-01,ceded_losses,non-life,прочее имущество,3867,0.00031356786
2022-01-01,ceded_losses,non-life,прочее имущество,3941,1.26332e-06
2022-01-01,ceded_losses,non-life,прочее имущество,3947,0.08923906524
2022-01-01,ceded_losses,non-life,прочее имущество,3954,0.0100055055
2022-01-01,ceded_losses,non-life,прочее имущество,4133,4.232877e-05
2022-01-01,ceded_losses,non-life,прочее имущество,4174,0.0091487929999999
2022-01-01,ceded_losses,non-life,прочее имущество,4331,0.00087047828
2022-01-01,ceded_losses,non-life,прочее имущество,4372,0.00536048852
2022-01-01,ceded_losses,non-life,прочее имущество,total,2.9430209913399996
2022-01-01,ceded_losses,non-life,страхование нежизни,0001,0.10655541873
2022-01-01,ceded_losses,non-life,страхование нежизни,0141,0.0048350577999999
2022-01-01,ceded_losses,non-life,страхование нежизни,0212,0.00519788611
2022-01-01,ceded_losses,non-life,страхование нежизни,0235,0.07651032484
2022-01-01,ceded_losses,non-life,страхование нежизни,0290,0.022572544139999998
2022-01-01,ceded_losses,non-life,страхование нежизни,0348,0.0006525524899999999
2022-01-01,ceded_losses,non-life,страхование нежизни,0397,0.02485742322
2022-01-01,ceded_losses,non-life,страхование нежизни,0518,0.0003609289999999
2022-01-01,ceded_losses,non-life,страхование нежизни,0574,0.00041903836
2022-01-01,ceded_losses,non-life,страхование нежизни,0585,0.00052194853
2022-01-01,ceded_losses,non-life,страхование нежизни,0621,0.042426323319999903
2022-01-01,ceded_losses,non-life,страхование нежизни,0630,0.0320418433099999
2022-01-01,ceded_losses,non-life,страхование нежизни,0667,0.0041837150199999
2022-01-01,ceded_losses,non-life,страхование нежизни,0915,0.018764055789999998
2022-01-01,ceded_losses,non-life,страхование нежизни,0928,0.57469693783
2022-01-01,ceded_losses,non-life,страхование нежизни,1083,0.040543927119999996
2022-01-01,ceded_losses,non-life,страхование нежизни,1182,0.03157588752
2022-01-01,ceded_losses,non-life,страхование нежизни,1208,1.5866995362999998
2022-01-01,ceded_losses,non-life,страхование нежизни,1209,0.5349880361399998
2022-01-01,ceded_losses,non-life,страхование нежизни,1216,0.00266908789
2022-01-01,ceded_losses,non-life,страхование нежизни,1284,0.1380270100599999
2022-01-01,ceded_losses,non-life,страхование нежизни,1307,0.17046141632
2022-01-01,ceded_losses,non-life,страхование нежизни,1336,0.00221338571
2022-01-01,ceded_losses,non-life,страхование нежизни,1427,0.0224627744699998
2022-01-01,ceded_losses,non-life,страхование нежизни,1580,1.5482e-05
2022-01-01,ceded_losses,non-life,страхование нежизни,1587,-2.499999e-05
2022-01-01,ceded_losses,non-life,страхование нежизни,1643,0.06045542805
2022-01-01,ceded_losses,non-life,страхование нежизни,1675,0.0044763457299999
2022-01-01,ceded_losses,non-life,страхование нежизни,1834,0.10127528014
2022-01-01,ceded_losses,non-life,страхование нежизни,1858,0.06801820212
2022-01-01,ceded_losses,non-life,страхование нежизни,2027,0.00159368037
2022-01-01,ceded_losses,non-life,страхование нежизни,2042,0.00447225854
2022-01-01,ceded_losses,non-life,страхование нежизни,2239,1.59583458461
2022-01-01,ceded_losses,non-life,страхование нежизни,2346,0.00365854187
2022-01-01,ceded_losses,non-life,страхование нежизни,2496,0.0202214448899999
2022-01-01,ceded_losses,non-life,страхование нежизни,2619,0.0014725603499999998
2022-01-01,ceded_losses,non-life,страхование нежизни,2917,0.00100774464
2022-01-01,ceded_losses,non-life,страхование нежизни,2947,1.0188237808699998
2022-01-01,ceded_losses,non-life,страхование нежизни,3193,0.00441935953
2022-01-01,ceded_losses,non-life,страхование нежизни,3211,0.0173184900599999
2022-01-01,ceded_losses,non-life,страхование нежизни,3229,0.00039580637
2022-01-01,ceded_losses,non-life,страхование нежизни,3256,0.01717068904
2022-01-01,ceded_losses,non-life,страхование нежизни,3268,0.00019090214
2022-01-01,ceded_losses,non-life,страхование нежизни,3300,0.0101974343
2022-01-01,ceded_losses,non-life,страхование нежизни,3447,9e-06
2022-01-01,ceded_losses,non-life,страхование нежизни,3511,0.00014232277
2022-01-01,ceded_losses,non-life,страхование нежизни,3609,0.0014445826999999
2022-01-01,ceded_losses,non-life,страхование нежизни,3823,0.043975166419999906
2022-01-01,ceded_losses,non-life,страхование нежизни,3828,0.20588762272
2022-01-01,ceded_losses,non-life,страхование нежизни,3867,0.0026455214999999
2022-01-01,ceded_losses,non-life,страхование нежизни,3879,0.03079504353
2022-01-01,ceded_losses,non-life,страхование нежизни,3941,0.0021656678099999
2022-01-01,ceded_losses,non-life,страхование нежизни,3947,0.11229105314
2022-01-01,ceded_losses,non-life,страхование нежизни,3954,0.07064660441
2022-01-01,ceded_losses,non-life,страхование нежизни,3969,0.0006496704999999
2022-01-01,ceded_losses,non-life,страхование нежизни,3972,0.0164903389499999
2022-01-01,ceded_losses,non-life,страхование нежизни,4117,0.00847570638
2022-01-01,ceded_losses,non-life,страхование нежизни,4133,0.0306339453099999
2022-01-01,ceded_losses,non-life,страхование нежизни,4174,0.0431793480199999
2022-01-01,ceded_losses,non-life,страхование нежизни,4179,0.0067373795399999
2022-01-01,ceded_losses,non-life,страхование нежизни,4189,0.0319286058
2022-01-01,ceded_losses,non-life,страхование нежизни,4209,0.00321231584
2022-01-01,ceded_losses,non-life,страхование нежизни,4293,0.00331178055
2022-01-01,ceded_losses,non-life,страхование нежизни,4331,0.04882939226
2022-01-01,ceded_losses,non-life,страхование нежизни,4334,0.01729476598
2022-01-01,ceded_losses,non-life,страхование нежизни,4359,0.00049222563
2022-01-01,ceded_losses,non-life,страхование нежизни,4360,0.00156862914
2022-01-01,ceded_losses,non-life,страхование нежизни,4372,0.00542752802
2022-01-01,ceded_losses,non-life,страхование нежизни,4379,0.0010755482700000002
2022-01-01,ceded_losses,non-life,страхование нежизни,total,7.0645398408399975
2022-01-01,ceded_losses,все виды,все линии,0001,0.10655541873
2022-01-01,ceded_losses,все виды,все линии,0141,0.0048350577999999
2022-01-01,ceded_losses,все виды,все линии,0212,0.00519788611
2022-01-01,ceded_losses,все виды,все линии,0235,0.07651032484
2022-01-01,ceded_losses,все виды,все линии,0290,0.022572544139999998
2022-01-01,ceded_losses,все виды,все линии,0348,0.0006525524899999999
2022-01-01,ceded_losses,все виды,все линии,0397,0.02485742322
2022-01-01,ceded_losses,все виды,все линии,0518,0.0003609289999999
2022-01-01,ceded_losses,все виды,все линии,0574,0.00041903836
2022-01-01,ceded_losses,все виды,все линии,0585,0.00052194853
2022-01-01,ceded_losses,все виды,все линии,0621,0.042426323319999903
2022-01-01,ceded_losses,все виды,все линии,0630,0.0320418433099999
2022-01-01,ceded_losses,все виды,все линии,0667,0.0041837150199999
2022-01-01,ceded_losses,все виды,все линии,0915,0.018764055789999998
2022-01-01,ceded_losses,все виды,все линии,0928,0.57469693783
2022-01-01,ceded_losses,все виды,все линии,1083,0.040543927119999996
2022-01-01,ceded_losses,все виды,все линии,1182,0.03157588752
2022-01-01,ceded_losses,все виды,все линии,1208,1.5866995362999998
2022-01-01,ceded_losses,все виды,все линии,1209,0.5349880361399998
2022-01-01,ceded_losses,все виды,все линии,1216,0.00266908789
2022-01-01,ceded_losses,все виды,все линии,1284,0.1380270100599999
2022-01-01,ceded_losses,все виды,все линии,1307,0.17046141632
2022-01-01,ceded_losses,все виды,все линии,1336,0.00221338571
2022-01-01,ceded_losses,все виды,все линии,1427,0.0224627744699998
2022-01-01,ceded_losses,все виды,все линии,1580,1.5482e-05
2022-01-01,ceded_losses,все виды,все линии,1587,-2.499999e-05
2022-01-01,ceded_losses,все виды,все линии,1643,0.06045542805
2022-01-01,ceded_losses,все виды,все линии,1675,0.0044763457299999
2022-01-01,ceded_losses,все виды,все линии,1834,0.10127528014
2022-01-01,ceded_losses,все виды,все линии,1858,0.06801820212
2022-01-01,ceded_losses,все виды,все линии,2027,0.00159368037
2022-01-01,ceded_losses,все виды,все линии,2042,0.00447225854
2022-01-01,ceded_losses,все виды,все линии,2239,1.59583458461
2022-01-01,ceded_losses,все виды,все линии,2346,0.00365854187
2022-01-01,ceded_losses,все виды,все линии,2496,0.0202214448899999
2022-01-01,ceded_losses,все виды,все линии,2619,0.0014725603499999998
2022-01-01,ceded_losses,все виды,все линии,2917,0.00100774464
2022-01-01,ceded_losses,все виды,все линии,2947,1.0188237808699998
2022-01-01,ceded_losses,все виды,все линии,3193,0.00441935953
2022-01-01,ceded_losses,все виды,все линии,3211,0.0173184900599999
2022-01-01,ceded_losses,все виды,все линии,3229,0.00039580637
2022-01-01,ceded_losses,все виды,все линии,3256,0.01717068904
2022-01-01,ceded_losses,все виды,все линии,3268,0.00019090214
2022-01-01,ceded_losses,все виды,все линии,3300,0.0101974343
2022-01-01,ceded_losses,все виды,все линии,3447,0.000959
2022-01-01,ceded_losses,все виды,все линии,3511,0.00014232277
2022-01-01,ceded_losses,все виды,все линии,3609,0.0014445826999999
2022-01-01,ceded_losses,все виды,все линии,3823,0.043975166419999906
2022-01-01,ceded_losses,все виды,все линии,3828,0.20588762272
2022-01-01,ceded_losses,все виды,все линии,3866,0.00183330059
2022-01-01,ceded_losses,все виды,все линии,3867,0.0026455214999999
2022-01-01,ceded_losses,все виды,все линии,3879,0.03160137496
2022-01-01,ceded_losses,все виды,все линии,3941,0.0021656678099999
2022-01-01,ceded_losses,все виды,все линии,3947,0.11229105314
2022-01-01,ceded_losses,все виды,все линии,3954,0.07064660441
2022-01-01,ceded_losses,все виды,все линии,3969,0.0006496704999999
2022-01-01,ceded_losses,все виды,все линии,3972,0.0164903389499999
2022-01-01,ceded_losses,все виды,все линии,4014,3.000965e-05
2022-01-01,ceded_losses,все виды,все линии,4079,1.289655e-05
2022-01-01,ceded_losses,все виды,все линии,4117,0.00847570638
2022-01-01,ceded_losses,все виды,все линии,4133,0.0306339453099999
2022-01-01,ceded_losses,все виды,все линии,4174,0.0431793480199999
2022-01-01,ceded_losses,все виды,все линии,4179,0.0067373795399999
2022-01-01,ceded_losses,все виды,все линии,4189,0.0319286058
2022-01-01,ceded_losses,все виды,все линии,4209,0.00321231584
2022-01-01,ceded_losses,все виды,все линии,4293,0.00331178055
2022-01-01,ceded_losses,все виды,все линии,4331,0.04882939226
2022-01-01,ceded_losses,все виды,все линии,4334,0.01729476598
2022-01-01,ceded_losses,все виды,все линии,4358,0.00157
2022-01-01,ceded_losses,все виды,все линии,4359,0.00049222563
2022-01-01,ceded_losses,все виды,все линии,4360,0.00156862914
2022-01-01,ceded_losses,все виды,все линии,4372,0.00542752802
2022-01-01,ceded_losses,все виды,все линии,4379,0.0010755482700000002
2022-01-01,ceded_losses,все виды,все линии,total,7.069742379059997
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,3447,0.01111241392
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,3866,0.00320699884
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,3879,0.01346011232
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,3984,0.00034479097
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,3987,0.00170741076
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,4014,0.0002752452999999
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,4358,0.00213251188
2022-01-01,ceded_premiums,life,инвестиционное страхование жизни,total,0.0322394839899999
2022-01-01,ceded_premiums,life,страхование жизни,3447,0.01111241392
2022-01-01,ceded_premiums,life,страхование жизни,3866,0.00320699884
2022-01-01,ceded_premiums,life,страхование жизни,3879,0.01346011232
2022-01-01,ceded_premiums,life,страхование жизни,3984,0.00034479097
2022-01-01,ceded_premiums,life,страхование жизни,3987,0.00170741076
2022-01-01,ceded_premiums,life,страхование жизни,4014,0.0002752452999999
2022-01-01,ceded_premiums,life,страхование жизни,4358,0.00213251188
2022-01-01,ceded_premiums,life,страхование жизни,total,0.0322394839899999
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0001,0.40484878715
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0212,0.1131275316
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0235,0.00099771981
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0290,0.0986984404099999
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0348,-0.51698698485
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0397,0.004848
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0436,-0.01190427506
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0518,0.00217792715
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0574,0.00036581988
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0585,0.00029466302
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0621,0.42217316547
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0630,0.00774763809
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0915,0.0254530299999999
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",0928,2.28000658552
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1083,-0.0029126770099999
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1182,0.04371804005
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1208,1.86985208587
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1209,0.15625427273
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1284,0.03979217648
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1307,0.0509199820099999
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1336,0.01033939017
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1427,0.00014568606
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1587,9.456164e-05
2022-01-01,ceded_premiums,non-life,"авиа, море, грузы",1675,0.01625245302
